"Question 1... What is the supreme law of the land?", "The Constitution"
"Question 2... What does the Constitution do?", "Sets up the government"
"Question 3... The idea of self-government is in the first three words of the Constitution. What are these words?", "We the People"
"Question 4... What is an amendment?", "A change (to the Constitution)"
"Question 5... What do we call the first ten amendments to the Constitution?", "The Bill of Rights"
"Question 6... What is one right or freedom from the First Amendment?", "Speech"
"Question 7... How many amendments does the Constitution have?", "Twenty-seven"
"Question 8... What did the Declaration of Independence do?", "Announced our independence from England"
"Question 9... What are two rights in the Declaration of Independence?", "Life, Liberty, Pursuit of Happiness"
"Question 10... What is freedom of religion?", "You can practice any religion, or not practice a religion"
"Question 11... What is the economic system in the United States?", "Market economy"
"Question 12... What is the 'rule of law'?", "Everyone must follow the law"
"Question 13... Name one branch or part of the government.", "Congress"
"Question 14... What stops one branch of government from becoming too powerful?", "Checks and balances"
"Question 15... Who is in charge of the executive branch?", "The President"
"Question 16... Who makes federal laws?", "Congress"
"Question 17... What are the two parts of the U.S. Congress?", "The Senate and House"
"Question 18... How many U.S. Senators are there?", "One hundred"
"Question 19... We elect a U.S. Senator for how many years?", "Six"
"Question 20... Who is one of your state's U.S. Senators now?", "Alex Padilla"
"Question 21... The House of Representatives has how many voting members?", "Four hundred thirty-five"
"Question 22... We elect a U.S. Representative for how many years?", "Two"
"Question 23... Name your U.S. Representative.", "Jimmy Panetta"
"Question 24... Who does a U.S. Senator represent?", "All people of the state"
"Question 25... Why do some states have more Representatives than other states?", "Because they have more people"
"Question 26... We elect a President for how many years?", "Four"
"Question 27... In what month do we vote for President?", "November"
"Question 28... What is the name of the President of the United States now?", "Joe Biden"
"Question 29... What is the name of the Vice President of the United States now?", "Kamala Harris"
"Question 30... If the President can no longer serve, who becomes President?", "The Vice President"
"Question 31... If both the President and the Vice President can no longer serve, who becomes President?", "The Speaker of the House"
"Question 32... Who is the Commander in Chief of the military?", "The President"
"Question 33... Who signs bills to become laws?", "The President"
"Question 34... Who vetoes bills?", "The President"
"Question 35... What does the President's Cabinet do?", "Advises the President"
"Question 36... What are two Cabinet-level positions?", "Secretary of Defense, and Secretary of State"
"Question 37... What does the judicial branch do?", "Reviews laws"
"Question 38... What is the highest court in the United States?", "The Supreme Court"
"Question 39... How many justices are on the Supreme Court?", "Nine"
"Question 40... Who is the Chief Justice of the United States now?", "John Roberts"
"Question 41... Under our Constitution, some powers belong to the federal government. What is one power of the federal government?", "To print money"
"Question 42... Under our Constitution, some powers belong to the states. What is one power of the states?", "Give Driver License"
"Question 43... Who is the Governor of your state now?", "Gavin Newsom"
"Question 44... What is the capital of your state?", "Sacramento"
"Question 45... What are the two major political parties in the United States?", "Democratic and Republican"
"Question 46... What is the political party of the President now?", "Democratic"
"Question 47... What is the name of the Speaker of the House of Representatives now?", "Mike Johnson"
"Question 48... There are four amendments to the Constitution about who can vote. Describe one of them.", "Citizens eighteen and older can vote"
"Question 49... What is one responsibility that is only for United States citizens?", "Vote in a federal election"
"Question 50... Name one right only for United States citizens.", "Vote in a federal election"
"Question 51... What are two rights of everyone living in the United States?", "Freedom of expression and freedom of speech"
"Question 52... What do we show loyalty to when we say the Pledge of Allegiance?", "The United States"
"Question 53... What is one promise you make when you become a United States citizen?", "Obey the laws of the U.S."
"Question 54... How old do citizens have to be to vote for President?", "Eighteen and older"
"Question 55... What are two ways that Americans can participate in their democracy?", "Vote and join a community group"
"Question 56... When is the last day you can send in federal income tax forms?", "April 15"
